oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
686103400034440,275032983,2460504.8336346797,60504.329837999998,17.6727982,0.0289402846,0,zg,298.00253989999999,29.871464499999998,1.16299999,0.0529999994,20240713329792,686,0x3,0x4,21.3500004,26.3304844,0.0176235847,-0.0849760845,6.03793478e-06,30,1.00300002,1
686103400034440,275334957,2460507.8534218604,60507.349571799998,17.8167572,0.0303960443,0,zg,298.00255290000001,29.8714792,1.91600001,0.050999999,20240716349560,686,0x3,0x4,21.1299992,26.5221691,0.0204960927,-0.143698841,8.20178957e-06,30,1.00300002,1
686103400034440,275539434,2460509.8982211417,60509.394340300001,17.7301064,0.0294986982,0,zg,298.00253320000002,29.8714516,1.37800002,0.00400000019,20240718394340,686,0x3,0x4,20.5900002,25.9872551,0.0396241099,-0.0971924439,2.92501591e-05,30,1.05999994,1
686103400034440,275741613,2460511.9200412887,60511.416134300001,17.805069,0.0302711502,0,zg,298.00255720000001,29.871483600000001,0.95599997,0.0790000036,20240720416123,686,0x3,0x4,19.8700008,26.3373928,0.0231451746,-0.107878551,1.05170966e-05,30,1.12800002,1
686103400034440,276041178,2460514.9157202765,60514.411782399999,17.7828026,0.030036578,0,zg,298.0025235,29.8714282,1.07500005,0.0520000011,20240723411771,686,0x3,0x4,20,26.3809967,0.0232201163,-0.121768638,1.01717696e-05,30,1.13999999,1
686103400034440,276232108,2460516.8250406473,60516.321087999997,17.6954708,0.029157985,0,zg,298.00252360000002,29.8714792,1.15499997,0.00800000038,20240725321065,686,0x3,0x4,20.3899994,26.2192307,0.0200278759,-0.0727401152,7.82529605e-06,30,1.00199997,1
686103400034440,276540403,2460519.908007632,60519.404039399997,17.7212486,0.0294106174,0,zg,298.00252380000001,29.8714704,1.28400004,-0.00499999989,20240728404039,686,0x3,0x4,20.9099998,26.4642696,0.0174461361,-0.094763875,5.82148414e-06,30,1.15900004,1
686103400034440,276734067,2460521.8446441675,60521.3406713,17.7735748,0.0299406499,0,zg,298.00252769999997,29.8714662,0.828999996,0.0719999969,20240730340671,686,0x3,0x4,21.2199993,26.4648361,0.0171675514,-0.0954888761,5.62174046e-06,30,1.02699995,1
686103400034440,277035628,2460524.8602566882,60524.356284699999,17.7273254,0.0294709839,0,zg,298.00254519999999,29.871457100000001,1.89199996,0.0359999985,20240802356215,686,0x3,0x4,21.2900009,26.4052429,0.0170919225,-0.0882053003,5.40472865e-06,30,1.06599998,1
686103400034440,277234039,2460526.8443595627,60526.340393500002,17.7382278,0.0295800474,0,zg,298.00252840000002,29.871472099999998,1.23800004,0.0410000011,20240804340382,686,0x3,0x4,21.3400002,26.4772911,0.018208107,-0.100986443,6.28991074e-06,30,1.04700005,1
